Recall,Precision,Threshold
1.0,0.0451227604512276,6.64953e-05
1.0,0.0451527224435591,6.651274e-05
1.0,0.045182724252491695,6.6606866e-05
1.0,0.04521276595744681,6.674121e-05
1.0,0.04524284763805722,6.675439e-05
1.0,0.045272969374167776,6.6859575e-05
1.0,0.04530313124583611,6.697539e-05
1.0,0.04533333333333334,6.719424e-05
1.0,0.04536357571714476,6.7292414e-05
1.0,0.04539385847797063,6.742242e-05
1.0,0.04542418169672679,6.7446024e-05
1.0,0.045454545454545456,6.750696e-05
1.0,0.04548494983277592,6.796532e-05
1.0,0.04551539491298527,6.826092e-05
1.0,0.04554588077695914,6.863781e-05
1.0,0.045576407506702415,6.866688e-05
1.0,0.04560697518443997,6.919385e-05
1.0,0.04563758389261745,6.928682e-05
1.0,0.04566823371390195,6.968426e-05
1.0,0.0456989247311828,6.979113e-05
1.0,0.04572965702757229,6.980744e-05
1.0,0.04576043068640646,6.995737e-05
1.0,0.04579124579124579,7.0055175e-05
1.0,0.04582210242587601,7.015137e-05
1.0,0.045853000674308836,7.0224065e-05
1.0,0.04588394062078273,7.0756105e-05
1.0,0.04591492234976367,7.0999966e-05
1.0,0.04594594594594595,7.1003764e-05
1.0,0.04597701149425287,7.1965325e-05
1.0,0.046008119079837616,7.2457886e-05
1.0,0.046039268788083954,7.275929e-05
1.0,0.04607046070460705,7.276928e-05
1.0,0.04610169491525424,7.288505e-05
1.0,0.04613297150610583,7.308396e-05
1.0,0.0461642905634759,7.379605e-05
1.0,0.04619565217391304,7.3860254e-05
1.0,0.046227056424201225,7.3944335e-05
1.0,0.04625850340136054,7.4041425e-05
1.0,0.04628999319264806,7.417435e-05
1.0,0.04632152588555858,7.467633e-05
1.0,0.046353101567825496,7.4851865e-05
1.0,0.04638472032742155,7.488271e-05
1.0,0.04641638225255973,7.496988e-05
1.0,0.04644808743169399,7.512768e-05
1.0,0.04647983595352016,7.517355e-05
1.0,0.046511627906976744,7.532244e-05
1.0,0.04654346338124572,7.536088e-05
1.0,0.04657534246575343,7.540127e-05
1.0,0.04660726525017135,7.5474076e-05
1.0,0.04663923182441701,7.571817e-05
1.0,0.04667124227865477,7.608071e-05
1.0,0.046703296703296704,7.627067e-05
1.0,0.04673539518900344,7.6418095e-05
1.0,0.04676753782668501,7.689154e-05
1.0,0.04679972470750172,7.690284e-05
1.0,0.046831955922865015,7.7023054e-05
1.0,0.04686423156443832,7.73838e-05
1.0,0.04689655172413793,7.7385426e-05
1.0,0.04692891649413389,7.751341e-05
1.0,0.04696132596685083,7.753663e-05
1.0,0.046993780234968904,7.754476e-05
